year,stock,omega,alpha,beta,gamma,nu
2020,ADI,0.2,0.02,0.8499999999999999,0.2,3.0
2020,ADP,0.2,0.08,0.7,0.15000000000000002,4.0
2020,AMAT,0.4,0.0,0.7999999999999999,0.2,4.0
2020,AMD,0.6000000000000001,0.08,0.8999999999999999,0.0,3.0
2020,AMGN,0.2,0.04,0.7999999999999999,0.15000000000000002,5.0
2020,AMT,0.2,0.02,0.75,0.2,5.0
2020,AMZN,0.4,0.02,0.7999999999999999,0.25,3.0
2020,APH,0.2,0.0,0.7,0.35000000000000003,5.0
2020,AVGO,0.2,0.0,0.8999999999999999,0.15000000000000002,4.0
2020,AXP,0.2,0.0,0.75,0.25,4.0
2020,BA,0.2,0.02,0.7999999999999999,0.15000000000000002,5.0
2020,BAC,0.2,0.04,0.7999999999999999,0.2,6.0
2020,BH,0.8,0.08,0.6499999999999999,0.0,5.0
2020,BLK,0.2,0.04,0.75,0.25,5.0
2020,BSX,0.4,0.0,0.7,0.35000000000000003,4.0
2020,BX,0.2,0.02,0.7999999999999999,0.25,6.0
2020,C,0.2,0.02,0.7999999999999999,0.2,5.0
2020,CAT,0.2,0.0,0.8499999999999999,0.15000000000000002,4.0
2020,CB,0.2,0.0,0.6,0.35000000000000003,5.0
2020,CME,0.2,0.08,0.75,0.1,5.0
2020,CMT,0.2,0.04,0.9499999999999998,0.0,3.0
2020,COP,0.0,0.02,0.9499999999999998,0.1,5.0
2020,COST,0.4,0.04,0.6,0.35000000000000003,3.0
2020,CRM,0.2,0.02,0.8499999999999999,0.30000000000000004,3.0
2020,CSCO,0.2,0.04,0.7,0.35000000000000003,4.0
2020,CVX,0.0,0.04,0.9499999999999998,0.05,5.0
2020,DE,0.2,0.04,0.7999999999999999,0.25,3.0
2020,DHR,0.2,0.0,0.7,0.30000000000000004,4.0
2020,DIS,0.2,0.06,0.7,0.25,4.0
2020,ETN,0.2,0.02,0.7999999999999999,0.2,5.0
2020,GE,0.2,0.08,0.7,0.2,4.0
2020,GILD,0.4,0.08,0.75,0.1,4.0
2020,GS,0.2,0.04,0.7999999999999999,0.15000000000000002,5.0
2020,HD,0.2,0.04,0.7,0.25,6.0
2020,HON,0.2,0.06,0.6499999999999999,0.35000000000000003,4.0
2020,IBM,0.2,0.06,0.75,0.1,4.0
2020,ICE,0.2,0.02,0.7999999999999999,0.2,4.0
2020,INTU,0.2,0.0,0.7999999999999999,0.15000000000000002,4.0
2020,ISRG,0.4,0.08,0.75,0.1,3.0
2020,JNJ,0.2,0.04,0.6,0.30000000000000004,5.0
2020,JPM,0.2,0.06,0.75,0.25,4.0
2020,KO,0.2,0.08,0.6,0.15000000000000002,4.0
2020,LLY,0.2,0.06,0.8499999999999999,0.05,3.0
2020,LMT,0.2,0.02,0.7,0.2,5.0
2020,LOW,0.6000000000000001,0.08,0.45,0.30000000000000004,5.0
2020,MA,0.2,0.0,0.75,0.30000000000000004,5.0
2020,MCD,0.2,0.02,0.6,0.35000000000000003,5.0
2020,MDT,0.2,0.06,0.75,0.15000000000000002,4.0
2020,MMC,0.2,0.02,0.6499999999999999,0.35000000000000003,4.0
2020,MO,0.4,0.08,0.45,0.15000000000000002,5.0
2020,MRK,0.2,0.02,0.7,0.35000000000000003,5.0
2020,MS,0.2,0.04,0.7999999999999999,0.2,6.0
2020,MSFT,0.2,0.02,0.7999999999999999,0.35000000000000003,3.0
2020,NEE,0.2,0.02,0.75,0.1,5.0
2020,NFLX,0.4,0.0,0.8999999999999999,0.15000000000000002,3.0
2020,NOW,0.4,0.0,0.8499999999999999,0.15000000000000002,4.0
2020,NVDA,0.8,0.02,0.7999999999999999,0.15000000000000002,3.0
2020,ORCL,0.4,0.04,0.6499999999999999,0.35000000000000003,3.0
2020,PANW,0.8,0.02,0.7999999999999999,0.2,3.0
2020,PEP,0.2,0.06,0.55,0.25,8.0
2020,PFE,0.2,0.08,0.6499999999999999,0.35000000000000003,4.0
2020,PG,0.2,0.08,0.6,0.2,4.0
2020,PGR,0.2,0.04,0.6499999999999999,0.25,7.0
2020,PLD,0.2,0.02,0.75,0.2,7.0
2020,PM,0.2,0.02,0.7,0.15000000000000002,5.0
2020,QCOM,0.4,0.08,0.75,0.05,3.0
2020,SCHW,0.4,0.02,0.75,0.25,5.0
2020,SO,0.2,0.08,0.7,0.0,7.0
2020,SYK,0.2,0.04,0.75,0.1,5.0
2020,T,0.2,0.06,0.7,0.05,5.0
2020,TJX,0.4,0.04,0.6,0.2,6.0
2020,TMO,0.2,0.02,0.7999999999999999,0.15000000000000002,4.0
2020,TSLA,0.4,0.02,0.8999999999999999,0.05,4.0
2020,TXN,0.2,0.02,0.7999999999999999,0.15000000000000002,4.0
2020,UNH,0.0,0.02,0.9499999999999998,0.1,5.0
2020,UNP,0.0,0.04,0.9499999999999998,0.05,4.0
2020,V,0.2,0.02,0.7,0.35000000000000003,5.0
2020,VZ,0.2,0.08,0.7,0.05,5.0
2020,WFC,0.2,0.06,0.7,0.25,6.0
2020,WMT,0.6000000000000001,0.08,0.45,0.2,3.0
2020,XOM,0.0,0.0,0.9499999999999998,0.1,6.0
2021,AAPL,0.2,0.0,0.7999999999999999,0.30000000000000004,4.0
2021,ABT,0.2,0.0,0.7999999999999999,0.2,4.0
2021,ACN,0.2,0.0,0.75,0.30000000000000004,4.0
2021,ADBE,0.2,0.02,0.7999999999999999,0.30000000000000004,4.0
2021,ADI,0.2,0.0,0.8499999999999999,0.2,4.0
2021,ADP,0.2,0.04,0.75,0.2,4.0
2021,AMAT,0.2,0.0,0.8999999999999999,0.1,5.0
2021,AMD,0.4,0.02,0.9499999999999998,0.05,3.0
2021,AMGN,0.2,0.02,0.7999999999999999,0.2,5.0
2021,AMT,0.2,0.0,0.7999999999999999,0.15000000000000002,6.0
2021,AMZN,0.2,0.02,0.7999999999999999,0.35000000000000003,4.0
2021,APH,0.2,0.04,0.7,0.30000000000000004,5.0
2021,AVGO,0.2,0.0,0.8999999999999999,0.15000000000000002,4.0
2021,AXP,0.2,0.0,0.8499999999999999,0.15000000000000002,3.0
2021,BA,0.2,0.08,0.7999999999999999,0.15000000000000002,4.0
2021,BAC,0.2,0.04,0.7999999999999999,0.2,5.0
2021,BH,0.8,0.08,0.7,0.05,4.0
2021,BLK,0.2,0.04,0.7999999999999999,0.15000000000000002,5.0
2021,BSX,0.2,0.0,0.7999999999999999,0.35000000000000003,4.0
2021,BX,0.2,0.02,0.7999999999999999,0.25,6.0
2021,C,0.2,0.02,0.7999999999999999,0.2,5.0
2021,CAT,0.2,0.0,0.8499999999999999,0.2,5.0
2021,CB,0.2,0.0,0.6499999999999999,0.35000000000000003,5.0
2021,CME,0.2,0.08,0.75,0.1,5.0
2021,CMT,0.8,0.06,0.8499999999999999,0.0,4.0
2021,COP,0.2,0.04,0.8499999999999999,0.15000000000000002,7.0
2021,COST,0.4,0.04,0.6499999999999999,0.35000000000000003,3.0
2021,CRM,0.2,0.02,0.7999999999999999,0.30000000000000004,4.0
2021,CSCO,0.2,0.08,0.7,0.35000000000000003,4.0
2021,CVX,0.0,0.04,0.9499999999999998,0.05,4.0
2021,DE,0.2,0.02,0.8499999999999999,0.25,3.0
2021,DHR,0.0,0.02,0.9499999999999998,0.1,4.0
2021,DIS,0.0,0.06,0.9499999999999998,0.0,4.0
2021,ETN,0.2,0.02,0.7999999999999999,0.2,5.0
2021,GE,0.0,0.08,0.8999999999999999,0.1,4.0
2021,GILD,0.6000000000000001,0.06,0.6499999999999999,0.15000000000000002,4.0
2021,GS,0.2,0.04,0.7999999999999999,0.15000000000000002,6.0
2021,HD,0.2,0.06,0.7,0.25,6.0
2021,HON,0.2,0.08,0.6499999999999999,0.35000000000000003,4.0
2021,IBM,0.2,0.06,0.75,0.15000000000000002,4.0
2021,ICE,0.2,0.04,0.75,0.25,4.0
2021,INTU,0.2,0.0,0.7999999999999999,0.25,4.0
2021,ISRG,0.2,0.02,0.7999999999999999,0.25,4.0
2021,JNJ,0.0,0.04,0.9499999999999998,0.05,4.0
2021,JPM,0.2,0.04,0.75,0.25,5.0
2021,KO,0.2,0.08,0.55,0.2,6.0
2021,LLY,0.2,0.06,0.7999999999999999,0.1,4.0
2021,LMT,0.2,0.04,0.75,0.15000000000000002,4.0
2021,LOW,0.2,0.02,0.7999999999999999,0.2,4.0
2021,MA,0.2,0.06,0.7,0.30000000000000004,6.0
2021,MCD,0.2,0.02,0.7,0.30000000000000004,4.0
2021,MDT,0.2,0.02,0.75,0.25,4.0
2021,MMC,0.2,0.04,0.6499999999999999,0.25,5.0
2021,MO,0.0,0.06,0.9499999999999998,0.0,4.0
2021,MRK,0.2,0.02,0.75,0.30000000000000004,4.0
2021,MS,0.2,0.04,0.7999999999999999,0.2,6.0
2021,MSFT,0.2,0.02,0.75,0.35000000000000003,4.0
2021,NEE,0.2,0.04,0.75,0.1,5.0
2021,NFLX,0.4,0.0,0.8999999999999999,0.2,3.0
2021,NOW,0.4,0.0,0.8499999999999999,0.15000000000000002,4.0
2021,NVDA,0.8,0.02,0.7999999999999999,0.25,3.0
2021,ORCL,0.4,0.06,0.6499999999999999,0.35000000000000003,3.0
2021,PANW,0.8,0.0,0.75,0.15000000000000002,4.0
2021,PEP,0.0,0.04,0.9499999999999998,0.05,5.0
2021,PFE,0.2,0.08,0.6499999999999999,0.35000000000000003,4.0
2021,PG,0.2,0.08,0.6499999999999999,0.15000000000000002,4.0
2021,PGR,0.2,0.02,0.7,0.30000000000000004,6.0
2021,PLD,0.2,0.0,0.7999999999999999,0.15000000000000002,7.0
2021,PM,0.6000000000000001,0.04,0.45,0.25,4.0
2021,QCOM,0.6000000000000001,0.08,0.7,0.15000000000000002,3.0
2021,SCHW,0.2,0.02,0.8499999999999999,0.15000000000000002,5.0
2021,SO,0.2,0.06,0.75,0.0,6.0
2021,SYK,0.2,0.04,0.75,0.15000000000000002,5.0
2021,T,0.4,0.08,0.6,0.05,4.0
2021,TJX,0.2,0.04,0.75,0.2,6.0
2021,TMO,0.2,0.04,0.7999999999999999,0.15000000000000002,4.0
2021,TSLA,0.4,0.0,0.8999999999999999,0.1,5.0
2021,TXN,0.2,0.0,0.8499999999999999,0.15000000000000002,4.0
2021,UNH,0.0,0.02,0.9499999999999998,0.1,5.0
2021,UNP,0.0,0.04,0.9499999999999998,0.05,4.0
2021,V,0.2,0.04,0.7,0.35000000000000003,5.0
2021,VZ,0.2,0.06,0.75,0.05,5.0
2021,WFC,0.2,0.04,0.75,0.2,6.0
2021,WMT,0.6000000000000001,0.08,0.45,0.1,4.0
2021,XOM,0.0,0.04,0.9499999999999998,0.05,5.0
2022,AAPL,0.2,0.0,0.7999999999999999,0.30000000000000004,4.0
2022,ABT,0.2,0.02,0.7999999999999999,0.15000000000000002,4.0
2022,ACN,0.2,0.0,0.75,0.25,4.0
2022,ADBE,0.2,0.02,0.7999999999999999,0.30000000000000004,4.0
2022,ADI,0.2,0.04,0.7999999999999999,0.2,5.0
2022,ADP,0.2,0.08,0.7,0.25,4.0
2022,AMAT,0.2,0.0,0.8999999999999999,0.15000000000000002,4.0
2022,AMD,0.8,0.04,0.8999999999999999,0.1,3.0
2022,AMGN,0.2,0.06,0.7999999999999999,0.1,4.0
2022,AMT,0.2,0.04,0.75,0.15000000000000002,6.0
2022,AMZN,0.2,0.02,0.7999999999999999,0.25,5.0
2022,APH,0.2,0.06,0.7,0.25,5.0
2022,AVGO,0.4,0.02,0.7999999999999999,0.15000000000000002,5.0
2022,AXP,0.2,0.0,0.7999999999999999,0.15000000000000002,4.0
2022,BA,0.2,0.08,0.7999999999999999,0.15000000000000002,4.0
2022,BAC,0.2,0.04,0.7999999999999999,0.25,4.0
2022,BH,0.4,0.06,0.8499999999999999,0.05,4.0
2022,BLK,0.2,0.04,0.7999999999999999,0.2,4.0
2022,BSX,0.2,0.0,0.7999999999999999,0.25,4.0
2022,BX,0.2,0.04,0.7999999999999999,0.25,5.0
2022,C,0.2,0.02,0.7999999999999999,0.25,5.0
2022,CAT,0.2,0.02,0.8499999999999999,0.2,4.0
2022,CB,0.2,0.08,0.6499999999999999,0.2,5.0
2022,CME,0.2,0.08,0.75,0.05,5.0
2022,CMT,0.8,0.06,0.8499999999999999,0.0,4.0
2022,COP,0.2,0.0,0.8999999999999999,0.1,6.0
2022,COST,0.2,0.02,0.75,0.2,4.0
2022,CRM,0.2,0.0,0.7999999999999999,0.30000000000000004,5.0
2022,CSCO,0.2,0.08,0.7,0.35000000000000003,4.0
2022,CVX,0.0,0.04,0.9499999999999998,0.05,4.0
2022,DE,0.2,0.02,0.8499999999999999,0.25,3.0
2022,DHR,0.0,0.02,0.9499999999999998,0.1,4.0
2022,DIS,0.2,0.08,0.75,0.05,4.0
2022,ETN,0.2,0.04,0.7999999999999999,0.15000000000000002,5.0
2022,GE,0.0,0.08,0.8999999999999999,0.15000000000000002,3.0
2022,GILD,0.6000000000000001,0.08,0.6499999999999999,0.05,4.0
2022,GS,0.2,0.04,0.7999999999999999,0.15000000000000002,5.0
2022,HD,0.2,0.04,0.75,0.15000000000000002,5.0
2022,HON,0.2,0.08,0.6499999999999999,0.30000000000000004,4.0
2022,IBM,0.2,0.02,0.7999999999999999,0.2,3.0
2022,ICE,0.2,0.04,0.75,0.2,4.0
2022,INTU,0.2,0.0,0.7999999999999999,0.25,4.0
2022,ISRG,0.2,0.02,0.8499999999999999,0.25,3.0
2022,JNJ,0.2,0.04,0.75,0.2,3.0
2022,JPM,0.2,0.02,0.75,0.30000000000000004,4.0
2022,KO,0.2,0.08,0.6,0.2,4.0
2022,LLY,0.2,0.06,0.7999999999999999,0.1,4.0
2022,LMT,0.2,0.02,0.75,0.15000000000000002,4.0
2022,LOW,0.2,0.02,0.8499999999999999,0.1,4.0
2022,MA,0.2,0.08,0.7,0.30000000000000004,5.0
2022,MCD,0.2,0.04,0.7,0.2,4.0
2022,MDT,0.2,0.06,0.75,0.1,4.0
2022,MMC,0.2,0.08,0.6499999999999999,0.2,4.0
2022,MO,0.0,0.06,0.9499999999999998,0.0,4.0
2022,MRK,0.2,0.02,0.75,0.25,4.0
2022,MS,0.2,0.02,0.8499999999999999,0.15000000000000002,5.0
2022,MSFT,0.2,0.02,0.75,0.35000000000000003,4.0
2022,NEE,0.2,0.04,0.7,0.1,6.0
2022,NFLX,0.2,0.02,0.8999999999999999,0.1,4.0
2022,NOW,0.4,0.0,0.8499999999999999,0.15000000000000002,4.0
2022,NVDA,0.8,0.04,0.75,0.25,4.0
2022,ORCL,0.2,0.08,0.75,0.25,3.0
2022,PANW,0.8,0.04,0.7,0.1,4.0
2022,PEP,0.0,0.04,0.9499999999999998,0.05,4.0
2022,PFE,0.2,0.08,0.6499999999999999,0.35000000000000003,4.0
2022,PG,0.2,0.08,0.6499999999999999,0.2,4.0
2022,PGR,0.2,0.04,0.75,0.25,4.0
2022,PLD,0.2,0.0,0.7999999999999999,0.15000000000000002,8.0
2022,PM,0.2,0.08,0.7999999999999999,0.0,4.0
2022,QCOM,0.6000000000000001,0.08,0.7,0.2,3.0
2022,SCHW,0.4,0.02,0.7999999999999999,0.15000000000000002,4.0
2022,SO,0.2,0.08,0.7,0.0,7.0
2022,SYK,0.4,0.04,0.55,0.30000000000000004,5.0
2022,T,0.4,0.08,0.6,0.05,4.0
2022,TJX,0.2,0.04,0.75,0.2,6.0
2022,TMO,0.2,0.02,0.7999999999999999,0.2,4.0
2022,TSLA,0.2,0.0,0.9499999999999998,0.05,4.0
2022,TXN,0.2,0.0,0.8499999999999999,0.15000000000000002,4.0
2022,UNH,0.0,0.02,0.9499999999999998,0.1,4.0
2022,UNP,0.2,0.0,0.8499999999999999,0.15000000000000002,4.0
2022,V,0.2,0.02,0.7,0.35000000000000003,5.0
2022,VZ,0.2,0.08,0.75,0.0,5.0
2022,WFC,0.2,0.02,0.7999999999999999,0.15000000000000002,5.0
2022,WMT,0.2,0.02,0.75,0.15000000000000002,4.0
2022,XOM,0.2,0.08,0.6499999999999999,0.25,7.0
2023,AAPL,0.2,0.04,0.7999999999999999,0.35000000000000003,4.0
2023,ABT,0.2,0.08,0.75,0.2,5.0
2023,ACN,0.2,0.04,0.7,0.35000000000000003,5.0
2023,ADBE,0.2,0.04,0.7999999999999999,0.35000000000000003,4.0
2023,ADI,0.2,0.02,0.8499999999999999,0.2,5.0
2023,ADP,0.2,0.08,0.75,0.25,4.0
2023,AMAT,0.2,0.06,0.8499999999999999,0.15000000000000002,5.0
2023,AMD,0.8,0.04,0.8999999999999999,0.1,3.0
2023,AMGN,0.2,0.08,0.7999999999999999,0.1,4.0
2023,AMT,0.2,0.08,0.75,0.15000000000000002,6.0
2023,AMZN,0.2,0.08,0.75,0.30000000000000004,5.0
2023,APH,0.0,0.06,0.8999999999999999,0.15000000000000002,5.0
2023,AVGO,0.4,0.08,0.75,0.15000000000000002,6.0
2023,AXP,0.2,0.08,0.75,0.30000000000000004,4.0
2023,BA,0.2,0.08,0.7999999999999999,0.25,4.0
2023,BAC,0.2,0.02,0.7999999999999999,0.30000000000000004,5.0
2023,BH,0.2,0.06,0.8999999999999999,0.05,4.0
2023,BLK,0.2,0.08,0.75,0.2,6.0
2023,BSX,0.2,0.02,0.8499999999999999,0.25,3.0
2023,BX,0.2,0.04,0.7999999999999999,0.25,5.0
2023,C,0.2,0.06,0.7999999999999999,0.2,5.0
2023,CAT,0.2,0.02,0.8499999999999999,0.2,5.0
2023,CB,0.0,0.08,0.8999999999999999,0.1,4.0
2023,CME,0.2,0.08,0.75,0.15000000000000002,5.0
2023,CMT,0.8,0.08,0.8499999999999999,0.1,3.0
2023,COP,0.2,0.04,0.8499999999999999,0.15000000000000002,6.0
2023,COST,0.2,0.08,0.75,0.15000000000000002,4.0
2023,CRM,0.2,0.04,0.7999999999999999,0.25,5.0
2023,CSCO,0.2,0.08,0.75,0.25,4.0
2023,CVX,0.2,0.08,0.7999999999999999,0.30000000000000004,3.0
2023,DE,0.2,0.08,0.7999999999999999,0.25,4.0
2023,DHR,0.2,0.06,0.75,0.25,4.0
2023,DIS,0.2,0.08,0.7999999999999999,0.25,3.0
2023,ETN,0.2,0.08,0.75,0.25,5.0
2023,GE,0.0,0.08,0.8999999999999999,0.1,4.0
2023,GILD,0.2,0.08,0.8499999999999999,0.0,4.0
2023,GS,0.2,0.06,0.7999999999999999,0.2,5.0
2023,HD,0.2,0.08,0.75,0.15000000000000002,5.0
2023,HON,0.0,0.08,0.8999999999999999,0.1,5.0
2023,IBM,0.2,0.08,0.7999999999999999,0.2,3.0
2023,ICE,0.2,0.06,0.75,0.2,5.0
2023,INTU,0.2,0.0,0.7999999999999999,0.35000000000000003,4.0
2023,ISRG,0.2,0.06,0.7999999999999999,0.25,4.0
2023,JNJ,0.2,0.08,0.75,0.25,3.0
2023,JPM,0.2,0.02,0.7999999999999999,0.30000000000000004,4.0
2023,KO,0.0,0.08,0.8999999999999999,0.1,4.0
2023,LLY,0.2,0.06,0.7999999999999999,0.15000000000000002,4.0
2023,LMT,0.2,0.06,0.75,0.25,4.0
2023,LOW,0.2,0.02,0.8499999999999999,0.15000000000000002,4.0
2023,MA,0.2,0.08,0.75,0.35000000000000003,4.0
2023,MCD,0.2,0.08,0.75,0.30000000000000004,3.0
2023,MDT,0.2,0.08,0.75,0.2,4.0
2023,MMC,0.2,0.08,0.7,0.25,4.0
2023,MO,0.2,0.08,0.7999999999999999,0.1,4.0
2023,MRK,0.2,0.06,0.75,0.25,4.0
2023,MS,0.2,0.06,0.7999999999999999,0.2,5.0
2023,MSFT,0.2,0.06,0.75,0.35000000000000003,5.0
2023,NEE,0.2,0.08,0.7,0.25,5.0
2023,NFLX,0.2,0.06,0.8999999999999999,0.05,4.0
2023,NOW,0.2,0.04,0.8499999999999999,0.2,5.0
2023,NVDA,0.8,0.08,0.75,0.2,5.0
2023,ORCL,0.2,0.08,0.75,0.35000000000000003,3.0
2023,PANW,0.8,0.08,0.6499999999999999,0.15000000000000002,4.0
2023,PEP,0.2,0.08,0.7,0.2,4.0
2023,PFE,0.0,0.08,0.8999999999999999,0.1,4.0
2023,PG,0.2,0.06,0.75,0.30000000000000004,3.0
2023,PGR,0.2,0.02,0.7999999999999999,0.25,4.0
2023,PLD,0.2,0.08,0.75,0.15000000000000002,9.0
2023,PM,0.2,0.08,0.7999999999999999,0.1,4.0
2023,QCOM,0.4,0.08,0.75,0.35000000000000003,3.0
2023,SCHW,0.2,0.04,0.8499999999999999,0.15000000000000002,5.0
2023,SO,0.2,0.08,0.7,0.2,6.0
2023,SYK,0.2,0.08,0.75,0.30000000000000004,4.0
2023,T,0.2,0.08,0.75,0.15000000000000002,4.0
2023,TJX,0.2,0.06,0.75,0.30000000000000004,6.0
2023,TMO,0.2,0.06,0.7999999999999999,0.2,4.0
2023,TSLA,0.8,0.08,0.8499999999999999,0.05,4.0
2023,TXN,0.2,0.08,0.7999999999999999,0.15000000000000002,5.0
2023,UNH,0.2,0.02,0.7999999999999999,0.30000000000000004,4.0
2023,UNP,0.2,0.04,0.7999999999999999,0.25,4.0
2023,V,0.2,0.06,0.7,0.35000000000000003,5.0
2023,VZ,0.2,0.08,0.75,0.1,4.0
2023,WFC,0.2,0.08,0.75,0.25,5.0
2023,WMT,0.2,0.08,0.75,0.1,4.0
2023,XOM,0.0,0.08,0.8999999999999999,0.1,5.0
2024,AAPL,0.2,0.06,0.7999999999999999,0.25,6.0
2024,ABT,0.2,0.08,0.7999999999999999,0.1,5.0
2024,ACN,0.2,0.02,0.75,0.35000000000000003,5.0
2024,ADBE,0.2,0.06,0.7999999999999999,0.25,6.0
2024,ADI,0.2,0.02,0.8499999999999999,0.15000000000000002,8.0
2024,ADP,0.2,0.08,0.75,0.2,5.0
2024,AMAT,0.6000000000000001,0.06,0.7999999999999999,0.15000000000000002,6.0
2024,AMD,0.6000000000000001,0.06,0.8499999999999999,0.1,5.0
2024,AMGN,0.2,0.08,0.7999999999999999,0.1,4.0
2024,AMT,0.2,0.08,0.75,0.15000000000000002,8.0
